#MESH,GRID*,GRID*,GRID*
1,3,2,1
2,4,3,1
3,5,4,1
4,8,7,6
5,10,7,9
6,3,12,11
7,13,3,4
8,9,4,10
9,10,14,3
10,9,15,13
11,5,10,4
12,3,13,12
13,9,7,15
14,16,5,1
15,9,13,4
16,3,11,2
17,10,5,14
18,17,12,15
19,2,16,1
20,14,5,16
21,7,18,15
22,12,13,15
23,19,16,2
24,20,2,11
25,10,6,7
26,21,14,16
27,18,7,8
28,17,20,12
29,17,15,18
30,22,8,21
31,21,8,14
32,19,2,20
33,19,22,21
34,19,21,16
35,22,17,18
36,22,20,17
37,8,6,14
38,8,22,18
39,20,11,12
40,20,22,19
