1,0,0
2,24,0
3,48,0
4,72,0
5,96,0
6,120,0
7,144,0
8,168,0
9,192,0
10,0,24
11,24,24
12,48,24
13,72,24
14,96,24
15,120,24
16,144,24
17,168,24
18,192,24
19,0,48
20,24,48
21,48,48
22,72,48
23,96,48
24,120,48
25,144,48
26,168,48
27,192,48
28,0,72
29,24,72
30,48,72
31,72,72
32,96,72
33,120,72
34,144,72
35,168,72
36,192,72
37,0,96
38,24,96
39,48,96
40,72,96
41,96,96
42,120,96
43,144,96
44,168,96
45,192,96
46,0,120
47,24,120
48,48,120
49,72,120
50,96,120
51,120,120
52,144,120
53,168,120
54,192,120
55,0,144
56,24,144
57,48,144
58,72,144
59,96,144
60,120,144
61,144,144
62,168,144
63,192,144
64,0,168
65,24,168
66,48,168
67,72,168
68,96,168
69,120,168
70,144,168
71,168,168
72,192,168
73,0,192
74,24,192
75,48,192
76,72,192
77,96,192
78,120,192
79,144,192
80,168,192
81,192,192
82,0,216
83,24,216
84,48,216
85,72,216
86,96,216
87,120,216
88,144,216
89,168,216
90,192,216
91,0,240
92,24,240
93,48,240
94,72,240
95,96,240
96,120,240
97,144,240
98,168,240
99,192,240
100,0,264
101,24,264
102,48,264
103,72,264
104,96,264
105,120,264
106,144,264
107,168,264
108,192,264
109,0,288
110,24,288
111,48,288
112,72,288
113,96,288
114,120,288
115,144,288
116,168,288
117,192,288
118,0,312
119,24,312
120,48,312
121,72,312
122,96,312
123,120,312
124,144,312
125,168,312
126,192,312
127,0,336
128,24,336
129,48,336
130,72,336
131,96,336
132,120,336
133,144,336
134,168,336
135,192,336
136,0,360
137,24,360
138,48,360
139,72,360
140,96,360
141,120,360
142,144,360
143,168,360
144,192,360
