GRID*,X,Y,Z
107,4.995667931E-2,6.975132258E-3,0.000000000E+0
108,4.766029584E-2,-7.280012562E-3,0.000000000E+0
109,4.320404039E-2,-2.348060680E-2,0.000000000E+0
110,-3.484585852E-2,-3.469455971E-2,0.000000000E+0
111,-4.521433420E-2,-1.956487270E-2,0.000000000E+0
112,-4.515787012E-2,4.885568882E-2,0.000000000E+0
113,-3.604738404E-2,3.346408473E-2,0.000000000E+0
114,4.375276607E-3,4.782512567E-2,0.000000000E+0
115,-2.246886365E-2,4.283184913E-2,0.000000000E+0
116,-9.737142426E-3,4.979093754E-2,0.000000000E+0
117,2.252327356E-2,2.349067750E-2,0.000000000E+0
118,-6.482321032E-3,3.204166599E-2,0.000000000E+0
119,-2.039735551E-2,-4.384886255E-2,0.000000000E+0
120,-4.033804483E-3,-4.911008444E-2,0.000000000E+0
121,3.118219721E-2,-3.832540330E-2,0.000000000E+0
122,2.498119956E-2,-2.065552718E-2,0.000000000E+0
123,1.470034448E-2,-2.684587592E-2,0.000000000E+0
124,1.410273897E-2,-4.698773644E-2,0.000000000E+0
125,7.984291255E-3,3.007951747E-2,0.000000000E+0
126,2.999368403E-2,6.051984996E-3,0.000000000E+0
127,8.037528545E-3,1.262197996E-2,0.000000000E+0
128,3.053094305E-2,-9.092864672E-3,0.000000000E+0
129,-7.877999998E-3,-3.126327457E-2,0.000000000E+0
130,3.980771577E-3,-3.228243427E-2,0.000000000E+0
131,-3.067020661E-2,5.297746694E-3,0.000000000E+0
132,-1.866596006E-2,2.539674047E-2,0.000000000E+0
133,-1.813583186E-2,-2.529452158E-2,0.000000000E+0
134,-8.954411453E-3,8.732724439E-3,0.000000000E+0
135,-2.743480573E-2,-1.790525716E-2,0.000000000E+0
136,-1.210408143E-3,-1.361914139E-2,0.000000000E+0
137,-1.436947881E-2,-5.779802426E-3,0.000000000E+0
138,1.197019570E-2,-5.209247622E-3,0.000000000E+0
139,-3.220337051E-2,-6.592487116E-3,0.000000000E+0
140,-2.743520629E-2,1.689262344E-2,0.000000000E+0
141,7.826885236E-3,8.784633344E-2,1.180567801E-2
142,-8.234010319E-3,8.798076723E-2,1.163476742E-2
143,-2.441605381E-2,8.492508839E-2,1.163476747E-2
144,-3.975009815E-2,7.891985820E-2,1.163476747E-2
145,-5.370357334E-2,7.017364556E-2,1.163476747E-2
146,-6.579185826E-2,5.899021705E-2,1.163476747E-2
147,-7.559511210E-2,4.575798671E-2,1.163476747E-2
148,-8.277285595E-2,3.093652597E-2,1.163476747E-2
149,-8.707579806E-2,1.504060213E-2,1.163476747E-2
150,-8.835449204E-2,-1.377700070E-3,1.163476747E-2
151,3.337569184E-3,1.677704690E-4,9.665821679E-2
152,2.216870309E-3,5.856990443E-5,9.778235612E-2
153,2.429757544E-3,8.233729837E-4,9.743452445E-2
154,5.387465237E-3,1.825652661E-3,9.431160925E-2
155,4.851011740E-3,2.092225090E-4,9.514447851E-2
156,3.713146705E-3,1.258275620E-3,9.607944953E-2
157,-3.727019751E-2,-8.012082562E-2,1.163476747E-2
158,1.097308569E-2,-8.768127344E-2,1.163476747E-2
159,3.430231808E-2,1.162404127E-2,6.378167093E-2
160,3.166701374E-2,1.030977463E-3,6.831620803E-2
161,2.586547751E-2,8.765045483E-3,7.268976476E-2
162,4.219134932E-2,-7.764215584E-2,1.163476747E-2
163,6.761308826E-2,-5.680707278E-2,1.169046925E-2
164,8.344251046E-2,-2.732018160E-2,1.219883329E-2
165,8.826858373E-2,4.131760773E-3,1.163476747E-2
166,8.226837555E-2,2.787831979E-2,1.313639237E-2
167,3.799622086E-2,7.950645632E-2,1.188082276E-2
168,7.372284883E-2,4.902888991E-2,1.146249108E-2
169,6.358168555E-2,6.147627995E-2,1.155813359E-2
170,5.151445849E-2,7.130691402E-2,1.203173629E-2
171,2.323401564E-2,8.507887801E-2,1.180569766E-2
